query,category,document_id,review_id,product_id,rating,rank,text,relevance_label,reviewer_notes
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_e17cd006851bea97,50663,B000GZU7SY,5.0,1,"Big kidney beans, BPA free and no salt added!
I was excited to purchase BPA free canned beans from a reputable company, Eden Foods, who I must admit I think I have a brand preference towards, because I appreciate the effort they put into setting high standards for their products and finding growers who can provide them with that. While I do want to eventually switch to using dried beans because I think that its less packaging and better price versus the canned, I am busy sometimes and find that to have some canned beans in the pantry on stock has been very helpful. The kidney beans in the can are nice big beans, and taste delicious.<br /><br />Kidney beans are great cold out of the can in salads with kale, red onion, avocado, and sprouts and I love them in soups! (But shortly before the soup is ready as you dont want them to get too mushy) I was happy about my purchase and will continue to buy Eden Kidney Beans, whether it be canned or dried.",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_6b2424197b197645,323373,B006CFW3CA,5.0,2,"Great flavor with nice packaging
Swirl green tea has me hooked since my first cup. I could really tell this is what a cup of enjoyable tea should be about with its quality tea leaves. Besides its easy brewing steps, the packaging, in my opinion, is what also sets it apart from many green tea products on the market, including many popular brands.<br /><br />The bag is sealed without any staples unlike many tea bags I've tried, and who knows what a staple could do to affect the overall flavor in hot water? I'm quite sure that once you give it a try, it'll be very difficult for you to get distracted by other inferior tea bags.",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_ad08cab33f52ff4c,415698,B000EDDS6Q,5.0,3,"wonderful--------------------
I was concerned that it wouldn't taste good unless it was mixed with yogurt the night before as so many reviewers had stated they do---I'm happy to report that I put it in a bowl, pour on some low-fat milk, and chow down-----it is delicious right away---yum yum go get you some. The only thing I would argue with is the serving size----who could eat a 1/4 cup for breakfast--not me--a cup at least--so it goes quickly. I also love that there is no ground up stuff in the bottom, from top of the bag to the last bite it's all perfect-----Thanks",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_424b4dec7b29474e,20474,B001BDDTB2,4.0,4,"My cats like this
My cats seem to enjoy this food as much as their erstwhile favorite, Wellness wet food.  They are pretty fussy so I am pleased.  I also like the fact that the the ingredients seem to be nourishing (no by-products) although since some reviewers have mentioned a possibly dangerous ingredient, I think I will do a little more research before ordering this again.",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_7cb27cb5299f19d3,85894,B004P7R9Z8,5.0,5,"Classic Cookies
All of the flavors I've tried are great; but my favorite are the mint.<br /><br />I was concerned re the shipping issue based on other reviews.  When they arrived, the cookies were packed so tightly into a box filled with canned goods that the outer carton was pushed out of shape right on top of where the cookies were - which carton was pretty battered on that location, as one might expect from an incorrectly packed carton.  Amazon, what is up with your packaging logic?  It's so weird what you do when packing things....<br /><br />Anyway, I figured the whole batch of cookies would be crushed.  To my amazement, only 3 of the cookies were broken (out of a pack of 4 bags).  I think that was a fluke really.  Anyway, otherwise they were fresh etc.  The only other odd thing was that these seemed to be different cookies than what I was used to.  They seemed to be thinner.  I've noticed since moving from the West Coast to the East Coast that a lot of products seem different here in various ways, so I figured it was either that, or maybe I was imagining it; but I don't think so.  Anyway - I actually preferred the thinner ones, as the overall flavor balances were better and the texture was more appealing.<br /><br />So while my shipping story was a success, I can't claim that the product was really properly packaged, and I wouldn't therefore want to leave a review claiming that.",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_8c78920609d89660,120724,B005K4Q37A,3.0,6,"Good for K-Cup Instant Gratification
Why do some reviewers seem to expect Italian coffee house products in each and every product made for K-Cups?  This is a Very Nice Cappuccino / French Vanilla flavored drink.  It is well above what you find in some gas stations - and not as good as in some others.  Just because you get it in a gas station does not make it bad - go to Italy and find out.  This makes a very acceptable cup using the middle or lowest setting.  Remember - less is stronger.<br /><br />60 cal (40 fat)  --  4.5g fat sat  --  9 carb  --  5g sugar  --  0g fiber",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_88d6d5504463a811,237174,B005FCN8ZM,5.0,7,"Great product!
I ordered this coffee for my husband, who is a huge coffee fan.  He really likes the bold flavors.  The product shipped fast, was fresh and the packaging was nice.  We will certainly buy this product again.",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_a078b62c6e59f464,474372,B001FA1MHY,5.0,8,"Better Than Any Store Bought Cookie
These macaroons are amazing.  I do not know why the other reviewers said they weren't very sweet.  I think they are plenty sweet and delicious.  If you love coconut, you MUST try these.  Buy them now!",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_c3a987997d9596d6,502926,B000UXY2EC,2.0,9,"Massively dented cans
The product inside the can is very good. I use it for cooking.<br />The packaging is inadequate. Half of the cans arrived severely dented. I opened the most mis-shapen can and saw no breach in the seal of the container; so I still used it despite misgivings.<br /> I saw that Amazon does not accept return of this canned product. Also I got no request for feedback except as to the adequacy of the packaging, so I feel they must be aware of the faulty and inadequate packaging.<br /> Roland Coconut Milk, Organic, 14-Ounce Cans (Pack of 24)",,
What packaging damage do reviewers report when canned products are shipped?,complaint_analysis,review_e20ce3c43d76fb95,391603,B004ACQKDK,1.0,10,"Rancid, rotten oil
Do not purchase this crap as it will arrive rancid and the cans are dented. If I had not been so busy, I would have shipped them back. Oh!!  Good idea.",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_d844b70a109140b0,86681,B0026N8W4U,3.0,1,"good straws - terrible service
I will say the cheese straws are the best I have ever tasted. The negative? Customer service is non existent. An internet order was lost, even though I received a confirmation via email. I was offered no discount or upgraded shipping, no additional product with my order, no discount on my next order, not even an apology for the 7 day delay. Just an excuse that the email order was lost and that her IT guy would be on the problem tomorrow. This is not the first problem I have had with an order. They do not give a tracking number. When asked for one the odds of getting one are 50-50. I have had so many problems with my orders I will go without my Aunt Lizzies cheese straws. I will miss them greatly however I need the hassle associated with ordering them less than I need the cheese straws. Ann, I wish you the best in the future and suggest you participate in customer service training classes to refrain from losing additional customers in the future. FOLLOW UP: Here it is almost a month later. I just received an email notifying me that my order shipped on the Aug 9th. I have not placed an order! What more can they do?",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_cf01485760f888e3,496341,B002GC3D8Q,5.0,2,"Yummy
Just the right amount of flavor and saltiness.<br /><br />Makes wonderful miso with perfectly suspended clouds throughout the soup.<br /><br />No problems with shipping.",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_ae44b5b6e95a72d5,90625,B001D0MF22,3.0,3,"Damaged Cups/Great Coffee
We enjoy Timothy's French Roast, but many of the K-Cups came damaged (mostly creased) to the point that they were ""throw aways"".",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_bc70acf57f761767,502796,B0018DG2S2,2.0,4,"High risk, dont order cans.
Great product, horrible shipping. Only 8 of 12 cans made it successfully during shipping. You'll only get a refund on the purchase price and not on shipping, which is most of the cost of the product. I've ordered large and small plastic bottles from a different Vender (British Delights) without any shipping casualties. The cans that did make it taste just fine (mmmm good!)",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_74f5f210862c912b,220477,B0034EDLS2,4.0,5,"Good but really sweet
The bars taste good but are very sweet (18 grams per bar).  Would not recommend shipping during the summer to the southern US states, they melt a little.",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_c77226be5a8350ea,262215,B002AU3K1E,5.0,6,"Lucy's Sugar Cookies
Great seller, fast shipping! I love these cookies! I have many allergies and I have no problems when eating these. I will be ordering more.",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_d48f4a95a59bcd79,71264,B0041CH3NU,1.0,7,"Disappointed
I was just deceived... I'm pregnant and have a craving for caviar, but can't eat any raw fish products. So the only option for me is pasteurized caviar. The description of the product here states that this romanoff caviar is pasteurized, but when I got it I didn't find any mention about pasteurization on the jar or packing! So, I can't eat it. It's not cheap, but I don't want spent more money on return shipment, so don't know what to do with it...<br />Shame on you, seller, for deceiving your customers!",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_6f1905d82f9ed211,229782,B003CN5NPE,5.0,8,"great!
shipping was super fast and i got a great product for a fantastic price! thanks so much! i was looking for a good price on the lemonade flavor and that is exactly what i got here! will do business again!",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_85ec3f1cf74e2334,170830,B001O8KQP6,5.0,9,"Fantastic
These colors are so true to life and vibrant!  The drip, drop out of the bottle makes it so easy to duplicate the exact same color again.  The food color doesn't change the taste or texture of any food.  I had no problems with shipping, and it was super fast.",,
What problems do customers report with damaged seals during shipping?,complaint_analysis,review_a895535f0f03e52c,432046,B0052OUAOK,1.0,10,"WARNING! Product changed without advising once-loyal customers!!
WARNING!! Without changing the look of the packaging, Greens+ has changed the ingredients and has ruined a once-great bar (I along with other loyal customers I knew would order them by the boxload). Supposedly to ""increase production,"" they've ruined the 40:30:30 balance, adding far more calories, fat, and carbs, while decreasing protein content. Sad, as they were once the perfect energy bar... I'm still in mourning. I am sending all boxes back directly to the company. Hopefully, if enough people do so, they can be persuaded to continue manufacturing the old formula, as I'm willing to wait and stock up on the original product, but not this pale imitation...",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_658a039517b24785,484819,B00248EE4O,5.0,1,"Stale...Stale...Stale Chips  (Issue Resolved!)
I normally love these chips when I buy them from the grocery store, however you can never find them in the small bags.  I was so excited to find them here on Amazon ... but these chips arrived very stale, I was so disappointed.  My guess, they were just old!<br /><br />***UPDATED Review*** Thank you Amazon for quickly handling this issue.  The next batch of chips that I received were fresh and delicious!  You guys get an A+ in customer service.  :-)",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_7d3fb7d20cdf99d2,159419,B001M23W50,1.0,2,"Very stale, I should have trusted reviews
After reading the reviews, I still decided to order this for some reason.  I thought ""Honey bunches is honey bunches"", but I was wrong.  Very stale and gritty, not enough flakes compared to what I buy in the grocery store.  I'm not sure what's going on, expiration was 1 year out.",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_26ee61ef0f285554,345318,B00023T3IA,4.0,3,"Good People
My shipment did not arrive on the date that I expected BUT these people sent me a very apologetic email and offered to make it right for me.  I was so impressed with their customer service that I declined their offer to give me something to change my initial review.  Their explanation for the delivery delay was totally satisfactory to me and I would not hesitate to order from them in the future.  By the way, the product was exactly what I expected and I could not be happier.",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_a0146dc46ce3a641,160030,B000H6PV4M,1.0,4,"VERY STALE!
This came in fast, but they were extremely stale!  They even had that white look over the chocolate that indicates staleness. This company has quite some nerve selling these candies like this!",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_48491b7cd072d2d5,279342,B005NYXE1K,3.0,5,"Hometown Favorites 1950's Candy
If I had paid the price that they are asking now plus shipping, I would have been disappointed. There is not enough good solid candy and the box is smaller than shown. However, it is a great idea, especially for older couples who really don't need anything, b/c they get a trip down memory lane. The rep. from the actual store was helpful in explaining that what I purchased was paid for by Amazon, when my pkg. did not arrive. And, Amazon customer service was excellent!! Buying it a lower price from Amazon and prime shipping made it a good gift!",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_8366d8b7ccedcdc7,45355,B003GHESE8,5.0,6,"Yummy
Fabulous cookie.  Perfect size.  Love packaging.  No more stale cookies.  Senior size, just enough with a cup of coffee (or tea) for a snack.  Wish all food was like that.",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_6c80612a6f35636d,241954,B001AHJ2FQ,5.0,7,"Yum.
I really like the flavor of these chips/crackers. The sesame seed flavor really pops after a few bites and they aren't dry in your mouth like some other multigrain products. They are a tad stale feeling, but I think that's intended and it doesn't mean they're old. With that said, I enjoyed my first bag. If I see these in a local store I will buy them again.",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_89ec9ff01c03d22f,214080,B000JIN1H2,1.0,8,"expired
oredered some, the ones i got were past date and stale, some packages were open. so not gonna buy food from here again",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_0cfaefffc94778d3,287307,B000EM0LVM,1.0,9,"carmel sugar STALE walnuts (very little walnut)
Just got my shipment of these.  Had high hopes, but no, very disappointing.  Not only were the walnuts stale, but what little walnut was there was thick COATED with a carmel sugar coating. I was expecting ""glazed"" lightly with sweetness, like other glazed items are.  But the coating was very thick and brown.  If you like sugar coating, it's great.  Otherwise give it a pass.  Very little stale walnut and too much brown gunk.",,
What customer evidence suggests some snack products arrive stale?,complaint_analysis,review_f1d9d4a082c02c23,458313,B00158U8DU,1.0,10,"Bad company
I bought 3 of there nut milk bags and and the seems all tore after one use, they sent out 2 replacements (when i bought 3) and they did the same thing. Bad customer service.<br />They do not support there products.",,
What flavor complaints are made about a food product?,aspect_analysis,review_b26c857efccdb955,399348,B004CH7VYK,5.0,1,"A TON OF CANDY FOR THE MONEY!!!!!!
A great candy with a nice center! No complaints at all about these. I wish I would have gone down a size though, they are not HUGE but... I actually shared some with friends because you get a load of these.",,
